2010 (83rd),Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",NO,,,,,,
2010 (83rd),Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",NO,,,,,,
2010 (83rd),Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",YES,,,,,,
2010 (83rd),Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",NO,,,,,,
2010 (83rd),Best Picture,Toy Story 3,"Darla K. Anderson, Producer",NO,,,,,,
2010 (83rd),Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",NO,,,,,,
2010 (83rd),Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",NO,,,,,,
2009 (82nd),Best Picture,Avatar,"James Cameron and Jon Landau, Producers",NO,,,,,,
2009 (82nd),Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",NO,,,,,,
2009 (82nd),Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",NO,,,,,,
2009 (82nd),Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",NO,,,,,,
2009 (82nd),Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",YES,,,,,,
2009 (82nd),Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",NO,,,,,,
2009 (82nd),Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",NO,,,,,,
2009 (82nd),Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",NO,,,,,,
2009 (82nd),Best Picture,Up,"Jonas Rivera, Producer",NO,,,,,,
2009 (82nd),Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",NO,,,,,,
2008 (81st),Best Picture,Frost/Nixon,"Brian Grazer, Ron Howard and Eric Fellner, Producers",NO,,,,,,
2008 (81st),Best Picture,Milk,"Dan Jinks and Bruce Cohen, Producers",NO,,,,,,
2008 (81st),Best Picture,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",NO,,,,,,
2008 (81st),Best Picture,Slumdog Millionaire,"Christian Colson, Producer",YES,,,,,,
2007 (80th),Best Picture,Atonement,"Tim Bevan, Eric Fellner and Paul Webster, Producers",NO,,,,,,
2007 (80th),Best Picture,Juno,"Lianne Halfon, Mason Novick and Russell Smith, Producers",NO,,,,,,
2007 (80th),Best Picture,Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",NO,,,,,,
2007 (80th),Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers",YES,,,,,,
2007 (80th),Best Picture,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",NO,,,,,,
2006 (79th),Best Picture,The Departed,"Graham King, Producer",YES,,,,,,
2006 (79th),Best Picture,Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",NO,,,,,,
2006 (79th),Best Picture,Little Miss Sunshine,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",NO,,,,,,
2006 (79th),Best Picture,The Queen,"Andy Harries, Christine Langan and Tracey Seaward, Producers",NO,,,,,,
2005 (78th),Best Picture,Brokeback Mountain,"Diana Ossana and James Schamus, Producers",NO,,,,,,
2005 (78th),Best Picture,Capote,"Caroline Baron, William Vince and Michael Ohoven, Producers",NO,,,,,,
2005 (78th),Best Picture,Crash,"Paul Haggis and Cathy Schulman, Producers",YES,,,,,,
2005 (78th),Best Picture,"Good Night, and Good Luck.","Grant Heslov, Producer",NO,,,,,,
2005 (78th),Best Picture,Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",NO,,,,,,
2004 (77th),Best Picture,The Aviator,"Michael Mann and Graham King, Producers",NO,,,,,,
2004 (77th),Best Picture,Finding Neverland,"Richard N. Gladstein and Nellie Bellflower, Producers",NO,,,,,,
2004 (77th),Best Picture,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",YES,,,,,,
2004 (77th),Best Picture,Ray,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",NO,,,,,,
2004 (77th),Best Picture,Sideways,"Michael London, Producer",NO,,,,,,
2003 (76th),Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",YES,,,,,,
2003 (76th),Best Picture,Lost in Translation,"Ross Katz and Sofia Coppola, Producers",NO,,,,,,
2003 (76th),Best Picture,Master and Commander: The Far Side of the World,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",NO,,,,,,
2003 (76th),Best Picture,Mystic River,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers",NO,,,,,,
2003 (76th),Best Picture,Seabiscuit,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers",NO,,,,,,
2002 (75th),Best Picture,Chicago,"Martin Richards, Producer",YES,,,,,,
2002 (75th),Best Picture,Gangs of New York,"Alberto Grimaldi and Harvey Weinstein, Producers",NO,,,,,,
2002 (75th),Best Picture,The Hours,"Scott Rudin and Robert Fox, Producers",NO,,,,,,
2002 (75th),Best Picture,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers",NO,,,,,,
2002 (75th),Best Picture,The Pianist,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers",NO,,,,,,
2001 (74th),Best Picture,A Beautiful Mind,"Brian Grazer and Ron Howard, Producers",YES,,,,,,
2001 (74th),Best Picture,Gosford Park,"Robert Altman, Bob Balaban and David Levy, Producers",NO,,,,,,
2001 (74th),Best Picture,In the Bedroom,"Graham Leader, Ross Katz and Todd Field, Producers",NO,,,,,,
2001 (74th),Best Picture,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",NO,,,,,,
2001 (74th),Best Picture,Moulin Rouge,"Martin Brown, Baz Luhrmann and Fred Baron, Producers",NO,,,,,,
2000 (73rd),Best Picture,Chocolat,"David Brown, Kit Golden and Leslie Holleran, Producers",NO,,,,,,
2000 (73rd),Best Picture,"Crouching Tiger, Hidden Dragon","Bill Kong, Hsu Li Kong and Ang Lee, Producers",NO,,,,,,
2000 (73rd),Best Picture,Erin Brockovich,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",NO,,,,,,
2000 (73rd),Best Picture,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers",YES,,,,,,
2000 (73rd),Best Picture,Traffic,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers",NO,,,,,,
1999 (72nd),Best Picture,American Beauty,"Bruce Cohen and Dan Jinks, Producers",YES,,,,,,
1999 (72nd),Best Picture,The Cider House Rules,"Richard N. Gladstein, Producer",NO,,,,,,
1999 (72nd),Best Picture,The Green Mile,"David Valdes and Frank Darabont, Producers",NO,,,,,,
1999 (72nd),Best Picture,The Insider,"Michael Mann and Pieter Jan Brugge, Producers",NO,,,,,,
1999 (72nd),Best Picture,The Sixth Sense,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",NO,,,,,,
1998 (71st),Best Picture,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan, Producers",NO,,,,,,
1998 (71st),Best Picture,Life Is Beautiful,"Elda Ferri and Gianluigi Braschi, Producers",NO,,,,,,
1998 (71st),Best Picture,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",NO,,,,,,
1998 (71st),Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",YES,,,,,,
1998 (71st),Best Picture,The Thin Red Line,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",NO,,,,,,
1997 (70th),Best Picture,As Good as It Gets,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",NO,,,,,,
1997 (70th),Best Picture,The Full Monty,"Uberto Pasolini, Producer",NO,,,,,,
1997 (70th),Best Picture,Good Will Hunting,"Lawrence Bender, Producer",NO,,,,,,
1997 (70th),Best Picture,L.A. Confidential,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",NO,,,,,,
1997 (70th),Best Picture,Titanic,"James Cameron and Jon Landau, Producers",YES,,,,,,
1996 (69th),Best Picture,The English Patient,"Saul Zaentz, Producer",YES,,,,,,
1996 (69th),Best Picture,Fargo,"Ethan Coen, Producer",NO,,,,,,
1996 (69th),Best Picture,Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",NO,,,,,,
1996 (69th),Best Picture,Secrets & Lies,"Simon Channing-Williams, Producer",NO,,,,,,
1996 (69th),Best Picture,Shine,"Jane Scott, Producer",NO,,,,,,
1995 (68th),Best Picture,Apollo 13,"Brian Grazer, Producer",NO,,,,,,
1995 (68th),Best Picture,Babe,"George Miller, Doug Mitchell and Bill Miller, Producers",NO,,,,,,
1995 (68th),Best Picture,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",YES,,,,,,
1995 (68th),Best Picture,The Postman (Il Postino),"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",NO,,,,,,
1995 (68th),Best Picture,Sense and Sensibility,"Lindsay Doran, Producer",NO,,,,,,
1994 (67th),Best Picture,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",YES,,,,,,
1994 (67th),Best Picture,Four Weddings and a Funeral,"Duncan Kenworthy, Producer",NO,,,,,,
1994 (67th),Best Picture,Pulp Fiction,"Lawrence Bender, Producer",NO,,,,,,
1994 (67th),Best Picture,Quiz Show,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",NO,,,,,,
1994 (67th),Best Picture,The Shawshank Redemption,"Niki Marvin, Producer",NO,,,,,,
1993 (66th),Best Picture,The Fugitive,"Arnold Kopelson, Producer",NO,,,,,,
1993 (66th),Best Picture,In the Name of the Father,"Jim Sheridan, Producer",NO,,,,,,
1993 (66th),Best Picture,The Piano,"Jan Chapman, Producer",NO,,,,,,
1993 (66th),Best Picture,The Remains of the Day,"Mike Nichols, John Calley and Ismail Merchant, Producers",NO,,,,,,
1993 (66th),Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",YES,,,,,,
1992 (65th),Best Picture,The Crying Game,"Stephen Woolley, Producer",NO,,,,,,
1992 (65th),Best Picture,A Few Good Men,"David Brown, Rob Reiner and Andrew Scheinman, Producers",NO,,,,,,
1992 (65th),Best Picture,Howards End,"Ismail Merchant, Producer",NO,,,,,,
1992 (65th),Best Picture,Scent of a Woman,"Martin Brest, Producer",NO,,,,,,
1992 (65th),Best Picture,Unforgiven,"Clint Eastwood, Producer",YES,,,,,,
1991 (64th),Best Picture,Beauty and the Beast,"Don Hahn, Producer",NO,,,,,,
1991 (64th),Best Picture,Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",NO,,,,,,
1991 (64th),Best Picture,JFK,"A. Kitman Ho and Oliver Stone, Producers",NO,,,,,,
1991 (64th),Best Picture,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers",NO,,,,,,
1991 (64th),Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",YES,,,,,,
1990 (63rd),Best Picture,Awakenings,"Walter F. Parkes and Lawrence Lasker, Producers",NO,,,,,,
1990 (63rd),Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",YES,,,,,,
1990 (63rd),Best Picture,Ghost,"Lisa Weinstein, Producer",NO,,,,,,
1990 (63rd),Best Picture,"The Godfather, Part III","Francis Ford Coppola, Producer",NO,,,,,,
1990 (63rd),Best Picture,Good Fellas,"Irwin Winkler, Producer",NO,,,,,,
1989 (62nd),Best Picture,Born on the Fourth of July,"A. Kitman Ho and Oliver Stone, Producers",NO,,,,,,
1989 (62nd),Best Picture,Dead Poets Society,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",NO,,,,,,
1989 (62nd),Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",YES,,,,,,
1989 (62nd),Best Picture,Field of Dreams,"Lawrence Gordon and Charles Gordon, Producers",NO,,,,,,
1989 (62nd),Best Picture,My Left Foot,"Noel Pearson, Producer",NO,,,,,,
1988 (61st),Best Picture,The Accidental Tourist,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",NO,,,,,,
1988 (61st),Best Picture,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers",NO,,,,,,
1988 (61st),Best Picture,Mississippi Burning,"Frederick Zollo and Robert F. Colesberry, Producers",NO,,,,,,
1988 (61st),Best Picture,Rain Man,"Mark Johnson, Producer",YES,,,,,,
1988 (61st),Best Picture,Working Girl,"Douglas Wick, Producer",NO,,,,,,
1987 (60th),Best Picture,Broadcast News,"James L. Brooks, Producer",NO,,,,,,
1987 (60th),Best Picture,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers",NO,,,,,,
1987 (60th),Best Picture,Hope and Glory,"John Boorman, Producer",NO,,,,,,
1987 (60th),Best Picture,The Last Emperor,"Jeremy Thomas, Producer",YES,,,,,,
1987 (60th),Best Picture,Moonstruck,"Patrick Palmer and Norman Jewison, Producers",NO,,,,,,
1986 (59th),Best Picture,Children of a Lesser God,"Burt Sugarman and Patrick Palmer, Producers",NO,,,,,,
1986 (59th),Best Picture,Hannah and Her Sisters,"Robert Greenhut, Producer",NO,,,,,,
1986 (59th),Best Picture,The Mission,"Fernando Ghia and David Puttnam, Producers",NO,,,,,,
1986 (59th),Best Picture,Platoon,"Arnold Kopelson, Producer",YES,,,,,,
1986 (59th),Best Picture,A Room with a View,"Ismail Merchant, Producer",NO,,,,,,
1985 (58th),Best Picture,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",NO,,,,,,
1985 (58th),Best Picture,Kiss of the Spider Woman,"David Weisman, Producer",NO,,,,,,
1985 (58th),Best Picture,Out of Africa,"Sydney Pollack, Producer",YES,,,,,,
1985 (58th),Best Picture,Prizzi's Honor,"John Foreman, Producer",NO,,,,,,
1985 (58th),Best Picture,Witness,"Edward S. Feldman, Producer",NO,,,,,,
1984 (57th),Best Picture,Amadeus,"Saul Zaentz, Producer",YES,,,,,,
1984 (57th),Best Picture,The Killing Fields,"David Puttnam, Producer",NO,,,,,,
1984 (57th),Best Picture,A Passage to India,"John Brabourne and Richard Goodwin, Producers",NO,,,,,,
1984 (57th),Best Picture,Places in the Heart,"Arlene Donovan, Producer",NO,,,,,,
1984 (57th),Best Picture,A Soldier's Story,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",NO,,,,,,
1983 (56th),Best Picture,The Big Chill,"Michael Shamberg, Producer",NO,,,,,,
1983 (56th),Best Picture,The Dresser,"Peter Yates, Producer",NO,,,,,,
1983 (56th),Best Picture,The Right Stuff,"Irwin Winkler and Robert Chartoff, Producers",NO,,,,,,
1983 (56th),Best Picture,Tender Mercies,"Philip S. Hobel, Producer",NO,,,,,,
1983 (56th),Best Picture,Terms of Endearment,"James L. Brooks, Producer",YES,,,,,,
1982 (55th),Best Picture,E.T. The Extra-Terrestrial,"Steven Spielberg and Kathleen Kennedy, Producers",NO,,,,,,
1982 (55th),Best Picture,Gandhi,"Richard Attenborough, Producer",YES,,,,,,
1982 (55th),Best Picture,Missing,"Edward Lewis and Mildred Lewis, Producers",NO,,,,,,
1982 (55th),Best Picture,Tootsie,"Sydney Pollack and Dick Richards, Producers",NO,,,,,,
1982 (55th),Best Picture,The Verdict,"Richard D. Zanuck and David Brown, Producers",NO,,,,,,
1981 (54th),Best Picture,Atlantic City,"Denis Heroux and John Kemeny, Producers",NO,,,,,,
1981 (54th),Best Picture,Chariots of Fire,"David Puttnam, Producer",YES,,,,,,
1981 (54th),Best Picture,On Golden Pond,"Bruce Gilbert, Producer",NO,,,,,,
1981 (54th),Best Picture,Raiders of the Lost Ark,"Frank Marshall, Producer",NO,,,,,,
1981 (54th),Best Picture,Reds,"Warren Beatty, Producer",NO,,,,,,
1980 (53rd),Best Picture,Coal Miner's Daughter,"Bernard Schwartz, Producer",NO,,,,,,
1980 (53rd),Best Picture,The Elephant Man,"Jonathan Sanger, Producer",NO,,,,,,
1980 (53rd),Best Picture,Ordinary People,"Ronald L. Schwary, Producer",YES,,,,,,
1980 (53rd),Best Picture,Raging Bull,"Irwin Winkler and Robert Chartoff, Producers",NO,,,,,,
1980 (53rd),Best Picture,Tess,"Claude Berri, Producer; Timothy Burrill, Co-Producer",NO,,,,,,
1979 (52nd),Best Picture,All That Jazz,"Robert Alan Aurthur, Producer",NO,,,,,,
1979 (52nd),Best Picture,Apocalypse Now,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",NO,,,,,,
1979 (52nd),Best Picture,Breaking Away,"Peter Yates, Producer",NO,,,,,,
1979 (52nd),Best Picture,Kramer vs. Kramer,"Stanley R. Jaffe, Producer",YES,,,,,,
1979 (52nd),Best Picture,Norma Rae,"Tamara Asseyev and Alex Rose, Producers",NO,,,,,,
1978 (51st),Best Picture,Coming Home,"Jerome Hellman, Producer",NO,,,,,,
1978 (51st),Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",YES,,,,,,
1978 (51st),Best Picture,Heaven Can Wait,"Warren Beatty, Producer",NO,,,,,,
1978 (51st),Best Picture,Midnight Express,"Alan Marshall and David Puttnam, Producers",NO,,,,,,
1978 (51st),Best Picture,An Unmarried Woman,"Paul Mazursky and Tony Ray, Producers",NO,,,,,,
1977 (50th),Best Picture,Annie Hall,"Charles H. Joffe, Producer",YES,,,,,,
1977 (50th),Best Picture,The Goodbye Girl,"Ray Stark, Producer",NO,,,,,,
1977 (50th),Best Picture,Julia,"Richard Roth, Producer",NO,,,,,,
1977 (50th),Best Picture,Star Wars,"Gary Kurtz, Producer",NO,,,,,,
1977 (50th),Best Picture,The Turning Point,"Herbert Ross and Arthur Laurents, Producers",NO,,,,,,
1976 (49th),Best Picture,All the President's Men,"Walter Coblenz, Producer",NO,,,,,,
1976 (49th),Best Picture,Bound for Glory,"Robert F. Blumofe and Harold Leventhal, Producers",NO,,,,,,
1976 (49th),Best Picture,Network,"Howard Gottfried, Producer",NO,,,,,,
1976 (49th),Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers",YES,,,,,,
1976 (49th),Best Picture,Taxi Driver,"Michael Phillips and Julia Phillips, Producers",NO,,,,,,
1975 (48th),Best Picture,Barry Lyndon,"Stanley Kubrick, Producer",NO,,,,,,
1975 (48th),Best Picture,Dog Day Afternoon,"Martin Bregman and Martin Elfand, Producers",NO,,,,,,
1975 (48th),Best Picture,Jaws,"Richard D. Zanuck and David Brown, Producers",NO,,,,,,
1975 (48th),Best Picture,Nashville,"Robert Altman, Producer",NO,,,,,,
1975 (48th),Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers",YES,,,,,,
1974 (47th),Best Picture,Chinatown,"Robert Evans, Producer",NO,,,,,,
1974 (47th),Best Picture,The Conversation,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",NO,,,,,,
1974 (47th),Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",YES,,,,,,
1974 (47th),Best Picture,Lenny,"Marvin Worth, Producer",NO,,,,,,
1974 (47th),Best Picture,The Towering Inferno,"Irwin Allen, Producer",NO,,,,,,
1973 (46th),Best Picture,American Graffiti,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",NO,,,,,,
1973 (46th),Best Picture,Cries and Whispers,"Ingmar Bergman, Producer",NO,,,,,,
1973 (46th),Best Picture,The Exorcist,"William Peter Blatty, Producer",NO,,,,,,
1973 (46th),Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers",YES,,,,,,
1973 (46th),Best Picture,A Touch of Class,"Melvin Frank, Producer",NO,,,,,,
1972 (45th),Best Picture,Cabaret,"Cy Feuer, Producer",NO,,,,,,
1972 (45th),Best Picture,Deliverance,"John Boorman, Producer",NO,,,,,,
1972 (45th),Best Picture,The Emigrants,"Bengt Forslund, Producer",NO,,,,,,
1972 (45th),Best Picture,The Godfather,"Albert S. Ruddy, Producer",YES,,,,,,
1972 (45th),Best Picture,Sounder,"Robert B. Radnitz, Producer",NO,,,,,,
1971 (44th),Best Picture,A Clockwork Orange,"Stanley Kubrick, Producer",NO,,,,,,
1971 (44th),Best Picture,Fiddler on the Roof,"Norman Jewison, Producer",NO,,,,,,
1971 (44th),Best Picture,The French Connection,"Philip D'Antoni, Producer",YES,,,,,,
1971 (44th),Best Picture,The Last Picture Show,"Stephen J. Friedman, Producer",NO,,,,,,
1971 (44th),Best Picture,Nicholas and Alexandra,"Sam Spiegel, Producer",NO,,,,,,
1970 (43rd),Best Picture,Airport,"Ross Hunter, Producer",NO,,,,,,
1970 (43rd),Best Picture,Five Easy Pieces,"Bob Rafelson and Richard Wechsler, Producers",NO,,,,,,
1970 (43rd),Best Picture,Love Story,"Howard G. Minsky, Producer",NO,,,,,,
1970 (43rd),Best Picture,M*A*S*H,"Ingo Preminger, Producer",NO,,,,,,
